feature_set,model,auc_mean,auc_std,brier_mean,log_loss_mean,ece_10_mean,mean_excess_return,win_rate,worst_net_return,fits
base_plus_crowding,elastic_logistic_c1_l25,0.502383294571143,0.044600807626688554,0.25076394535995233,0.694685284423351,0.057105615380978324,0.0024070275271063164,0.5,-0.06926274088623387,6
base_plus_crowding,ridge_logistic_c01,0.5023806369952447,0.044609871710749475,0.25076172597019414,0.6946808272704232,0.05711572035505139,0.00182318277023301,0.5,-0.06926274088623387,6
base_plus_regime,elastic_logistic_c1_l25,0.5020887460813651,0.043006976571199666,0.2507927539309565,0.6947435748599698,0.05696715387445871,0.002189719744310564,0.3333333333333333,-0.0570205649943958,6
base_plus_regime,ridge_logistic_c01,0.5020345041076723,0.04300779162521192,0.25079249620771393,0.6947430648977743,0.05698314922474896,0.002302554281659106,0.3333333333333333,-0.0570205649943958,6
base_only,elastic_logistic_c1_l25,0.5015553744419616,0.04445374912396874,0.250801031450544,0.6947598078147017,0.05677986241474583,0.0015424782541940448,0.4166666666666667,-0.06946422436849231,6
base_only,ridge_logistic_c01,0.5014888888801542,0.04449189233191908,0.25079954784971276,0.6947568081429202,0.05677623445952651,0.0008676210004660111,0.375,-0.06946422436849231,6
graph_survivors,ridge_logistic_c01,0.5013688540484283,0.0432452516927962,0.2508418614483741,0.6948423003610772,0.05750998100138991,0.004481944748168753,0.5,-0.04814501296922591,6
graph_survivors,elastic_logistic_c1_l25,0.5013301123473037,0.04314435927788665,0.250842816400091,0.6948442311671813,0.0575304063829195,0.005382427056156006,0.5,-0.04759393222981849,6
base_plus_crowding,tanh_mlp_16_8,0.4889524319696684,0.02801246506627398,0.25381736998576104,0.7009260612216671,0.07763018228547638,-0.0003076734308446794,0.5277777777777778,-0.08863693969626744,18
graph_survivors,tanh_mlp_16_8,0.48749315709690083,0.021834846435926772,0.25535979618173654,0.7041281960516168,0.08186061823373138,-0.0010869058231795198,0.5,-0.07628977157958117,18
base_plus_regime,tanh_mlp_16_8,0.48554356118545466,0.027466615337722447,0.25384947018470316,0.7010037603936712,0.07650406601149183,-0.0013786011904136216,0.4444444444444444,-0.06986849622022737,18
base_only,tanh_mlp_16_8,0.48139167549364814,0.02634988128107845,0.2545554200241544,0.7024233753794811,0.0805098459505121,-0.003954289224614418,0.4583333333333333,-0.08264269921388714,18
